"country_name","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"Samoa",7.4,4.4,7.8,7.8,3.2,4.5,6.3,14.6,-0.2,2.9,6.2,-0.2,-1.2,1.9,0.1,1.3,3.7,2.2,1.5,-3,8.7,12,5
"San Marino",0,1.3,1.4,1.7,2.1,2.5,4.1,2.4,2.4,2.2,2.8,1.6,1.1,0.1,0.6,1,1.2,0.5,-0.1,2.1,5.3,5.9,2.5
"Sao Tome and Principe",10.1,9.8,13.3,17.2,23.1,18.6,32,17,13.3,14.3,10.6,8.1,7,6.1,5.4,5.7,7.9,7.7,9.8,8.1,18,20.8,11.9
"Saudi Arabia",0.1,0.5,0.3,0.6,1.9,5,6.1,4.3,3.7,3.7,2.9,3.5,2.2,1.2,2.1,-0.8,2.5,-2.1,3.4,3.1,2.5,2.5,2.2
"Senegal",2.4,0,0.5,1.7,2.1,5.9,6.3,-2.2,1.2,3.4,1.4,0.7,-1.1,0.9,1.2,1.1,0.5,1,2.5,2.2,9.7,6.1,3.3
"Serbia",8.9,2.9,10.6,16.3,10.7,6,12.4,8.1,6.1,11.1,7.3,7.7,2.1,1.4,1.1,3.1,2,1.8,1.6,4.1,12,12.4,5.3
"Seychelles",0.2,3.3,3.9,0.6,-1.9,5.3,37,31.8,-2.4,2.6,7.1,4.3,1.4,4,-1,2.9,3.7,1.8,1.2,9.8,2.6,-0.8,2
"Sierra Leone",0.1,4,12.9,13.7,10.5,17,8.2,7.5,7.2,6.8,6.6,5.5,4.6,6.7,10.9,18.2,16,14.8,13.4,11.9,27.2,42.9,29.7
"Singapore",-0.4,0.5,1.7,0.5,1,2.1,6.6,0.6,2.8,5.2,4.6,2.4,1,-0.5,-0.5,0.6,0.4,0.6,-0.2,2.3,6.1,5.5,3.5
"Slovakia",3.5,8.4,7.5,2.8,4.3,1.9,3.9,0.9,0.7,4.1,3.7,1.5,-0.1,-0.3,-0.5,1.4,2.5,2.8,2,2.8,12.1,10.9,4.8
"Slovenia",7.5,5.5,3.6,2.5,2.5,3.7,5.7,0.8,1.8,1.8,2.6,1.8,0.2,-0.5,-0.1,1.4,1.7,1.6,-0.1,1.9,8.8,7.4,4.2
"Solomon Islands",9.4,10.1,6.9,7.5,11.2,7.7,17.3,7.2,0.9,7.4,5.9,5.2,5.3,-0.6,0.5,0.5,3.5,1.6,3,-0.1,5.5,4.9,4
"Somalia",0,0,0,0,0,0,0,0,0,0,0,2.8,1.3,0.9,0,4,4.3,4.5,4.3,4.6,6.8,5.7,4.1
"South Africa",9,5.9,1.4,3.4,4.7,7.1,11,7.2,4.2,5,5.6,5.7,6.1,4.6,6.3,5.3,4.6,4.1,3.3,4.6,6.9,5.8,4.8
"Korea, South",2.8,3.5,3.6,2.8,2.2,2.5,4.7,2.8,2.9,4,2.2,1.3,1.3,0.7,1,1.9,1.5,0.4,0.5,2.5,5.1,3.4,2.3
"S. Sudan",0,0,0,0,0,0,0,0,0,0,42.4,-2.7,4.3,53,346.1,213,83.4,49.3,24,30.2,-3.2,16.3,13.6
"Spain",3.6,3.1,3.1,3.4,3.6,2.8,4.1,-0.2,2,3,2.4,1.5,-0.2,-0.6,-0.3,2,1.7,0.8,-0.3,3,8.3,3.5,3.9
"Sri Lanka",9.6,9,9,11,9.9,15.9,22.4,3.5,6.2,6.7,7.5,6.9,2.8,2.2,4,6.6,4.3,4.3,4.6,6,45.2,0,0
"Sudan",22.2,6.5,9.7,8.5,7.2,14.8,14.3,11.3,13,18.1,35.6,36.5,36.9,16.9,17.8,32.4,63.3,51,163.3,359.1,138.8,256.2,152.4
"Suriname",15.5,23,9.1,14,11.3,6.4,14.7,-0.3,6.9,17.7,5,1.9,3.4,6.9,55.5,22,6.9,4.4,34.9,59.1,52.4,53.3,30.9
"Sweden",1.9,2.3,1,0.8,1.5,1.7,3.3,1.9,1.9,1.4,0.9,0.4,0.2,0.7,1.1,1.9,2,1.7,0.7,2.7,8.1,6.9,3.6
"Switzerland",0.6,0.6,0.8,1.2,1.1,0.7,2.4,-0.5,0.7,0.2,-0.7,-0.2,0,-1.1,-0.4,0.5,0.9,0.4,-0.7,0.6,2.8,2.2,2
"Syria",-0.5,5.8,4.4,7.2,10.4,4.7,15.2,2.8,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Tajikistan",12.2,16.4,7.2,7.3,10,13.2,20.4,6.4,6.5,12.4,5.8,5,6.1,5.8,5.9,7.3,3.8,7.8,8.6,9,6.6,4.6,5.7
"Tanzania",4.6,4.4,4.1,4.4,7.3,7,10.3,12.1,7.2,12.7,16,7.9,6.1,5.6,5.2,5.3,3.5,3.4,3.3,3.7,4.4,4,4
"Thailand",0.7,1.8,2.8,4.5,4.7,2.2,5.5,-0.9,3.3,3.8,3,2.2,1.9,-0.9,0.2,0.7,1.1,0.7,-0.8,1.2,6.1,1.5,1.6
"Dem. Rep. Congo",3,1.7,3.7,2.5,4.7,2.6,6,4.3,0.4,1.8,5,4.6,0.9,3.2,3.2,0.4,1.2,0.4,1.4,2,3,3.5,3.2
"Timor-Leste",4.1,8,2.2,1.6,5.2,8.6,7.4,-0.2,5.2,13.2,10.9,9.5,0.8,0.6,-1.5,0.5,2.3,0.9,0.5,3.8,7,6,2.5
"Togo",2.7,-0.9,0.7,5.3,1.1,0.4,7.7,4.1,0.2,3.6,2.6,1.8,0.2,1.8,0.9,-0.2,0.9,0.7,1.8,4.5,7.6,5,2.8
"Tonga",10,10.7,11.8,10,7.2,5,9.6,5.5,1.7,6,3.3,0.7,2.3,0.1,-0.6,7.2,6.8,3.3,0.4,1.4,8.5,10.2,5.8
"Trinidad and Tobago",4.1,3.8,3.8,6.9,8.3,7.9,12,7,10.5,5.1,9.3,5.2,5.7,4.7,3.1,1.9,1,1,0.6,2.1,5.8,5.4,2.9
"Tunisia",2.7,2.7,3.7,2,4.1,3.4,4.9,3.5,4.4,3.2,4.6,5.3,4.6,4.4,3.6,5.3,7.3,6.7,5.6,5.7,8.3,9.4,9.8
"Turkey",45.1,25.3,8.6,8.2,9.6,8.8,10.4,6.3,8.6,6.5,8.9,7.5,8.9,7.7,7.8,11.1,16.3,15.2,12.3,19.6,72.3,51.2,62.5
"Turkmenistan",8.8,5.6,5.9,10.7,8.2,6.3,14.5,-2.7,4.4,5.3,5.3,6.8,6,7.4,3.6,8,13.3,5.1,6.1,19.5,11.2,5.9,10.5
"Tuvalu",5.1,2.9,2.4,3.2,4.2,2.3,10.4,-0.3,-1.9,0.5,1.4,2,1.1,3.1,3.5,4.1,2.2,3.5,1.9,6.2,11.5,6.2,3.8
"Uganda",-0.3,8.7,3.7,8.6,7.2,6.1,12,13,4,18.7,14,5.5,4.3,3.7,5.2,5.6,2.5,2.1,2.8,2.2,7.2,5.8,4.7
"Ukraine",0.8,5.2,9,13.5,9.1,12.8,25.2,15.9,9.4,8,0.6,-0.3,12.1,48.7,13.9,14.4,10.9,7.9,2.7,9.4,20.2,17.7,13
"United Arab Emirates",2.9,3.1,5,6.2,9.3,11.1,12.3,-4.7,0.9,0.9,0.7,1.1,2.3,4.1,1.6,2,3.1,-1.9,-2.1,-0.1,4.8,3.1,2.3
"United Kingdom",1.3,1.4,1.3,2.1,2.3,2.3,3.6,2.2,3.3,4.5,2.8,2.6,1.5,0,0.7,2.7,2.5,1.8,0.9,2.6,9.1,7.7,3.7
"United States of America",1.6,2.3,2.7,3.4,3.2,2.9,3.8,-0.3,1.6,3.1,2.1,1.5,1.6,0.1,1.3,2.1,2.4,1.8,1.3,4.7,8,4.1,2.8
"Uruguay",14,19.4,9.2,4.7,6.4,8.1,7.9,7.1,6.7,8.1,8.1,8.6,8.9,8.7,9.6,6.2,7.6,7.9,9.8,7.7,9.1,6.1,5.9
"Uzbekistan",27.3,12.5,7.3,10.7,13.1,11.2,13.1,12.3,12.3,12.4,11.9,11.7,9.1,8.5,8.8,13.9,17.5,14.5,12.9,10.8,11.4,10.2,10
"Vanuatu",2,3,1.4,1.2,2,3.9,4.8,4.3,2.8,0.9,1.3,1.5,0.8,2.5,0.8,3.1,2.4,2.7,5.3,2.3,7,9.3,5.7
"Venezuela",22.4,31.1,21.7,16,13.7,18.7,31.4,26,28.2,26.1,21.1,40.6,62.2,121.7,254.9,438.1,65374.1,19906,2355.1,1588.5,186.5,360,200
"Vietnam",4.1,3.3,7.9,8.4,7.5,8.3,23.1,6.7,9.2,18.7,9.1,6.6,4.1,0.6,2.7,3.5,3.5,2.8,3.2,1.8,3.2,3.4,3.4
"West Bank and Gaza",5.7,4.4,3,5.3,3.8,1.9,9.9,2.8,3.8,2.9,2.8,1.7,1.7,1.4,-0.2,0.2,-0.2,1.6,-0.7,1.2,3.7,3.4,2.7
"Yemen",12.2,10.8,12.5,9.9,10.8,7.9,19,3.7,11.2,19.5,9.9,11,8.2,22,21.3,30.4,33.6,15.7,21.7,31.5,29.5,14.9,17.3
"Zambia",22.2,21.4,18,18.3,9,10.7,12.4,13.4,8.5,8.7,6.6,7,7.8,10.1,17.9,6.6,7.5,9.2,15.7,22,11,10.6,9.6
"Zimbabwe",-34.4,-8.6,113.6,-31.5,33,-72.7,157,6.2,3,3.5,3.7,1.6,-0.2,-2.4,-1.6,0.9,10.6,255.3,557.2,98.5,193.4,314.5,222.4
